step,susceptible_status,infected_status,filtermeanvirulence_pathogen,susceptible_status_is_minority,infected_status_is_minority,filtermeanvirulence_pathogen_is_minority,susceptible_status_#84_f=is_minority,infected_status_#84_f=is_minority,filtermeanvirulence_pathogen_#84_f=is_minority,ensemble,mutation_rate,virulence_init,total_infected,total_minority_infected,total_majority_infected
5000,7788,953,0.20792401069242722,800,86,0.2179396344917735,6988,867,0.2069305347446258,130,0.8,0.9,2839,260,2579
5000,1535,2780,0.09999999999999998,162,283,0.10000000000000006,1373,2497,0.10000000000000007,131,0.0,0.1,8882,893,7989
5000,956,655,0.3000000000000004,106,60,0.30000000000000004,850,595,0.3000000000000002,132,0.0,0.3,9426,901,8525
5000,1538,494,0.5,136,45,0.5,1402,449,0.5,133,0.0,0.5,8856,857,7999
5000,9118,33,0.6999999999999997,950,3,0.6999999999999998,8168,30,0.6999999999999997,134,0.0,0.7,1432,146,1286
648,1706,0,0.0,160,0,0.0,1546,0,0.0,135,0.0,0.9,71,3,68
5000,2578,1890,0.12404147953878848,249,189,0.13212219811555126,2329,1701,0.12314362191914818,136,0.8,0.1,7923,783,7140
5000,3012,1951,0.1349545329521862,310,168,0.11746820101934652,2702,1783,0.13660215144052995,137,0.8,0.3,7545,751,6794
5000,2805,1761,0.14279167039228055,255,183,0.12635193750677776,2550,1578,0.14469817933907841,138,0.8,0.5,7689,773,6916
5000,4770,1589,0.16280677248520523,497,188,0.17268305063507147,4273,1401,0.16148147605966998,139,0.8,0.7,5671,597,5074
5000,10182,80,0.14037305202209463,1087,7,0.17781977740271976,9095,73,0.13678227013628125,140,0.8,0.9,252,32,220
5000,2849,3170,0.09999999999999992,295,310,0.10000000000000005,2554,2860,0.09999999999999994,141,0.0,0.1,7654,752,6902
5000,861,665,0.3000000000000003,102,46,0.30000000000000016,759,619,0.3000000000000003,142,0.0,0.3,9575,941,8634
5000,1436,490,0.5,135,49,0.5,1301,441,0.5,143,0.0,0.5,8908,857,8051
2456,4865,0,0.0,508,0,0.0,4357,0,0.0,144,0.0,0.7,377,38,339
1311,2991,0,0.0,288,0,0.0,2703,0,0.0,145,0.0,0.9,102,12,90
5000,4433,1943,0.14665926474652277,465,185,0.1487688536861649,3968,1758,0.14643726591043985,146,0.8,0.1,6346,624,5722
5000,3577,2038,0.1510872607361523,382,184,0.18073977779178013,3195,1854,0.148144400359542,147,0.8,0.3,6936,682,6254
5000,4159,1743,0.16886338860555472,413,177,0.16045045610892544,3746,1566,0.16981427561187873,148,0.8,0.5,6125,610,5515
5000,3397,1620,0.14310734168369094,353,161,0.1603010173855137,3044,1459,0.14121002722996,149,0.8,0.7,6921,681,6240
5000,6757,1130,0.18994880134127504,642,119,0.22745991421067213,6115,1011,0.1855335467107526,150,0.8,0.9,3712,431,3281
5000,2062,3092,0.09999999999999996,211,316,0.10000000000000007,1851,2776,0.09999999999999999,151,0.0,0.1,8438,876,7562
5000,842,724,0.3000000000000003,78,82,0.30000000000000004,764,642,0.30000000000000016,152,0.0,0.3,9699,981,8718
5000,2324,689,0.5,249,62,0.5,2075,627,0.5,153,0.0,0.5,8265,831,7434
1728,3825,0,0.0,392,0,0.0,3433,0,0.0,154,0.0,0.7,111,9,102
741,1889,0,0.0,183,0,0.0,1706,0,0.0,155,0.0,0.9,37,3,34
5000,3381,1952,0.14162682558410727,330,188,0.1404830139567384,3051,1764,0.14174872841060682,156,0.8,0.1,7098,716,6382
5000,2825,1655,0.13015187890964255,307,158,0.1275144625093537,2518,1497,0.13043024349965301,157,0.8,0.3,7675,780,6895
5000,2994,1785,0.12373855402646644,315,166,0.11615737838122249,2679,1619,0.12451587036810359,158,0.8,0.5,7542,734,6808
5000,8776,491,0.20026995725348765,831,51,0.18828904745466843,7945,440,0.20165865361653254,159,0.8,0.7,1673,178,1495
5000,4279,1637,0.1804759115086614,403,159,0.16927929146018778,3876,1478,0.18168041934878812,160,0.8,0.9,6265,613,5652
5000,1653,2790,0.09999999999999996,166,253,0.10000000000000007,1487,2537,0.10000000000000007,161,0.0,0.1,8682,820,7862
5000,908,714,0.3000000000000003,74,73,0.30000000000000004,834,641,0.30000000000000043,162,0.0,0.3,9502,933,8569
5000,1596,428,0.5,181,35,0.5,1415,393,0.5,163,0.0,0.5,8915,878,8037
1332,2887,0,0.0,306,0,0.0,2581,0,0.0,164,0.0,0.7,194,21,173
2618,5393,0,0.0,567,0,0.0,4826,0,0.0,165,0.0,0.9,183,14,169
5000,2988,1863,0.1329929965719509,237,199,0.13434462769037614,2751,1664,0.132831353186995,166,0.8,0.1,7369,810,6559
5000,2927,1814,0.13194330206006769,305,184,0.12473155272312017,2622,1630,0.13275738910178447,167,0.8,0.3,7570,724,6846
5000,5858,1317,0.17701689465188458,573,165,0.13891703958582974,5285,1152,0.1824739051431164,168,0.8,0.5,4544,496,4048
5000,4215,1686,0.16586104682455538,474,168,0.17308580731505982,3741,1518,0.1650614685884521,169,0.8,0.7,6313,585,5728
612,1634,0,0.0,178,0,0.0,1456,0,0.0,170,0.8,0.9,33,5,28
5000,1826,2793,0.09999999999999994,194,283,0.10000000000000006,1632,2510,0.10000000000000006,171,0.0,0.1,8666,874,7792
5000,888,686,0.3000000000000004,100,54,0.3,788,632,0.30000000000000027,172,0.0,0.3,9526,933,8593
5000,1797,672,0.5,179,46,0.5,1618,626,0.5,173,0.0,0.5,8735,864,7871
2482,5236,0,0.0,479,0,0.0,4757,0,0.0,174,0.0,0.7,225,48,177
1542,3334,0,0.0,315,0,0.0,3019,0,0.0,175,0.0,0.9,184,23,161
5000,2554,1879,0.14612412011076156,205,192,0.1408628457183966,2349,1687,0.1467229136397088,176,0.8,0.1,7948,837,7111
5000,2421,1848,0.12815129243890153,209,188,0.10735993285167003,2212,1660,0.13050597653673257,177,0.8,0.3,8005,829,7176
5000,2962,1763,0.12812369042014016,330,161,0.12795150047280046,2632,1602,0.1281409954023634,178,0.8,0.5,7492,701,6791
5000,3181,1883,0.15028470889057483,251,193,0.1386599626764053,2930,1690,0.151612268665329,179,0.8,0.7,7423,780,6643
5000,9269,382,0.25464768370278107,948,39,0.24006203167752263,8321,343,0.25630611060944314,180,0.8,0.9,1260,150,1110
5000,1761,2923,0.09999999999999995,175,278,0.10000000000000005,1586,2645,0.1,181,0.0,0.1,8835,859,7976
5000,885,641,0.30000000000000043,77,71,0.3,808,570,0.30000000000000027,182,0.0,0.3,9568,954,8614
5000,1887,677,0.5,174,69,0.5,1713,608,0.5,183,0.0,0.5,8689,926,7763
5000,9094,7,0.7000000000000001,890,0,0.0,8204,7,0.7000000000000001,184,0.0,0.7,1309,108,1201
871,2153,0,0.0,190,0,0.0,1963,0,0.0,185,0.0,0.9,111,19,92
5000,2631,1805,0.13042759342276802,256,180,0.13660969505834997,2375,1625,0.12974280678005742,186,0.8,0.1,7957,777,7180
5000,4389,1678,0.1650912072032168,473,158,0.17829479979958013,3916,1520,0.1637187284991211,187,0.8,0.3,6165,581,5584
5000,3022,1810,0.139454940217669,321,181,0.13511047794194206,2701,1629,0.13993765824830534,188,0.8,0.5,7448,738,6710
5000,4169,1519,0.1812537255431633,431,153,0.23549305497092696,3738,1366,0.1751786029937871,189,0.8,0.7,6224,594,5630
5000,3992,1762,0.14884284739773437,428,174,0.14895171203146307,3564,1588,0.14883091890512168,190,0.8,0.9,6753,699,6054
5000,1792,2828,0.1,160,302,0.10000000000000007,1632,2526,0.10000000000000007,191,0.0,0.1,8527,874,7653
5000,953,701,0.3000000000000004,86,70,0.3,867,631,0.30000000000000027,192,0.0,0.3,9499,948,8551
5000,1680,519,0.5,185,39,0.5,1495,480,0.5,193,0.0,0.5,8692,856,7836
5000,9719,26,0.6999999999999998,926,6,0.7000000000000001,8793,20,0.7,194,0.0,0.7,654,62,592
520,1485,0,0.0,143,0,0.0,1342,0,0.0,195,0.0,0.9,26,3,23
5000,4161,1845,0.1531121907592,432,170,0.14751278829295308,3729,1675,0.1536804883229384,196,0.8,0.1,6421,609,5812
5000,3810,1769,0.1470284868035145,385,143,0.12975336236287163,3425,1626,0.14854776281520693,197,0.8,0.3,6610,657,5953
5000,4416,1660,0.158646680562069,373,181,0.15109995895030695,4043,1479,0.15957024825086472,198,0.8,0.5,6004,660,5344
5000,8113,667,0.19752587786827677,811,55,0.1771332318381644,7302,612,0.19935855030562336,199,0.8,0.7,2352,214,2138
5000,8983,471,0.21624780020961706,960,32,0.31624791330612523,8023,439,0.2089584981160219,200,0.8,0.9,1424,100,1324
5000,2011,2927,0.09999999999999994,203,293,0.10000000000000003,1808,2634,0.10000000000000003,201,0.0,0.1,8416,808,7608
5000,854,700,0.3000000000000004,90,77,0.30000000000000004,764,623,0.3000000000000004,202,0.0,0.3,9596,925,8671
5000,1856,705,0.5,184,83,0.5,1672,622,0.5,203,0.0,0.5,8541,863,7678
4294,8404,0,0.0,833,0,0.0,7571,0,0.0,204,0.0,0.7,511,53,458
1195,2759,0,0.0,285,0,0.0,2474,0,0.0,205,0.0,0.9,94,19,75
5000,2335,1892,0.1223002787752812,205,220,0.1353521708719503,2130,1672,0.12058292455203524,206,0.8,0.1,8041,838,7203
