step,susceptible_status,infected_status,filtermean_virulence,ensemble,mutation_rate,virulence_init,total_infected
10994,1.0,0.0,NaN,328,0.0,0.4,6417.0
20000,0.9994490837392717,0.0005509162607283693,0.5,329,0.0,0.5,7770.0
11196,1.0,0.0,NaN,330,0.0,0.6,2270.0
374,1.0,0.0,NaN,331,0.0,0.7,23.0
1765,1.0,0.0,NaN,332,0.0,0.8,53.0
461,1.0,0.0,NaN,333,0.0,0.9,39.0
20000,0.9015466666666667,0.09845333333333334,0.059664072871484716,334,0.4,0.1,24817.0
20000,0.9062065413340201,0.0937934586659799,0.06233017923967764,335,0.4,0.2,24369.0
20000,0.905564571009789,0.09443542899021096,0.05911438161607154,336,0.4,0.3,24547.0
20000,0.8949542013024832,0.1050457986975168,0.05850935868100002,337,0.4,0.4,25106.0
20000,0.9005072988922249,0.09949270110777514,0.06008173760281751,338,0.4,0.5,24827.0
1644,1.0,0.0,NaN,339,0.4,0.6,45.0
20000,0.8989002815704191,0.10109971842958083,0.06083772666549404,340,0.4,0.7,24890.0
20000,0.8812572759022119,0.11874272409778813,0.05949487773535502,341,0.4,0.8,25460.0
276,1.0,0.0,NaN,342,0.4,0.9,10.0
20000,0.9151499482936918,0.08485005170630817,0.07200719495968427,343,0.8,0.1,24356.0
20000,0.9172727722527336,0.08272722774726635,0.07320049764630106,344,0.8,0.2,23575.0
20000,0.92000807999192,0.07999192000807999,0.0728463705313026,345,0.8,0.3,23610.0
20000,0.9151815692959347,0.08481843070406529,0.07717871747802366,346,0.8,0.4,24323.0
20000,0.9183815276070341,0.08161847239296595,0.06557301320400362,347,0.8,0.5,24720.0
20000,0.9148094355686883,0.08519056443131166,0.07194907454348419,348,0.8,0.6,23921.0
20000,0.9195657792711295,0.0804342207288705,0.06620633920211251,349,0.8,0.7,23969.0
20000,0.9181059073699497,0.0818940926300503,0.06917542961582332,350,0.8,0.8,24150.0
333,1.0,0.0,NaN,351,0.8,0.9,14.0
20000,0.9470968442778773,0.05290315572212265,0.09999999999999983,352,0.0,0.1,24489.0
20000,0.9619839477099054,0.03801605229009468,0.19999999999999987,353,0.0,0.2,21764.0
20000,0.9761518966305206,0.023848103369479415,0.3000000000000003,354,0.0,0.3,18266.0
20000,0.9975943804727844,0.002405619527215576,0.3999999999999998,355,0.0,0.4,10900.0
20000,0.9941495061835665,0.005850493816433515,0.5,356,0.0,0.5,7619.0
19406,1.0,0.0,NaN,357,0.0,0.6,6581.0
2986,1.0,0.0,NaN,358,0.0,0.7,471.0
866,1.0,0.0,NaN,359,0.0,0.8,53.0
752,1.0,0.0,NaN,360,0.0,0.9,30.0
20000,0.8952909156267652,0.10470908437323473,0.059499573183317764,361,0.4,0.1,24490.0
20000,0.8884378130437075,0.11156218695629251,0.0634688644818801,362,0.4,0.2,25207.0
20000,0.8927461695060538,0.10725383049394621,0.060490042951862076,363,0.4,0.3,25419.0
20000,0.8971257292726008,0.10287427072739924,0.060336670211304955,364,0.4,0.4,25206.0
20000,0.9144874878460673,0.08551251215393275,0.06082377194463084,365,0.4,0.5,24309.0
20000,0.8865259317174876,0.11347406828251239,0.06363106536277283,366,0.4,0.6,24909.0
20000,0.8970989849023548,0.10290101509764518,0.0647419067385348,367,0.4,0.7,24470.0
20000,0.8940538240612701,0.10594617593872992,0.05966803517989643,368,0.4,0.8,25263.0
20000,0.8966768016215928,0.10332319837840721,0.060145934136196635,369,0.4,0.9,25388.0
20000,0.9165564934404556,0.0834435065595444,0.06774326746712821,370,0.8,0.1,23530.0
20000,0.9150452992722412,0.0849547007277588,0.07441961260546626,371,0.8,0.2,23917.0
20000,0.9173336087158569,0.08266639128414313,0.0650278359995281,372,0.8,0.3,24271.0
20000,0.9112711048015008,0.08872889519849922,0.06347800841533964,373,0.8,0.4,23985.0
20000,0.9149591198142727,0.08504088018572727,0.07129377384423391,374,0.8,0.5,23794.0
20000,0.9074639217917551,0.09253607820824497,0.06625825212133164,375,0.8,0.6,24587.0
854,1.0,0.0,NaN,376,0.8,0.7,22.0
20000,0.9199237859828003,0.08007621401719965,0.06529161070260106,377,0.8,0.8,24216.0
435,1.0,0.0,NaN,378,0.8,0.9,30.0
20000,0.9473629405945749,0.0526370594054251,0.0999999999999999,379,0.0,0.1,23851.0
20000,0.9691868892317763,0.030813110768223687,0.20000000000000007,380,0.0,0.2,21412.0
20000,0.9837562597315154,0.01624374026848462,0.2999999999999999,381,0.0,0.3,18507.0
20000,0.993143583397438,0.006856416602561958,0.4000000000000003,382,0.0,0.4,12218.0
9175,1.0,0.0,NaN,383,0.0,0.5,4314.0
7606,1.0,0.0,NaN,384,0.0,0.6,1900.0
1064,1.0,0.0,NaN,385,0.0,0.7,70.0
511,1.0,0.0,NaN,386,0.0,0.8,18.0
467,1.0,0.0,NaN,387,0.0,0.9,21.0
20000,0.8961852144172586,0.10381478558274139,0.06062602425655715,388,0.4,0.1,24962.0
20000,0.8957297380427539,0.10427026195724612,0.060794490629620765,389,0.4,0.2,24692.0
20000,0.8936059788249948,0.1063940211750052,0.06377699488491594,390,0.4,0.3,24569.0
20000,0.9039287418482583,0.0960712581517417,0.06014512068003368,391,0.4,0.4,24422.0
20000,0.8984066887521691,0.10159331124783089,0.05705614293887858,392,0.4,0.5,24876.0
2333,1.0,0.0,NaN,393,0.4,0.6,45.0
380,1.0,0.0,NaN,394,0.4,0.7,21.0
1169,1.0,0.0,NaN,395,0.4,0.8,46.0
802,1.0,0.0,NaN,396,0.4,0.9,37.0
20000,0.9219791148682248,0.07802088513177524,0.07118037366861843,397,0.8,0.1,23708.0
20000,0.9163457094438453,0.08365429055615467,0.07083833784926234,398,0.8,0.2,24218.0
20000,0.9194351732991014,0.08056482670089858,0.06495183370338793,399,0.8,0.3,24048.0
20000,0.9161579982848207,0.08384200171517933,0.06498657637364737,400,0.8,0.4,24085.0
20000,0.9196080443258773,0.08039195567412272,0.06706730887414329,401,0.8,0.5,24066.0
20000,0.9242825157744758,0.07571748422552411,0.0626889746443942,402,0.8,0.6,24121.0
20000,0.9193373587242607,0.08066264127573927,0.06237337678845758,403,0.8,0.7,24384.0
20000,0.9225635539253146,0.07743644607468542,0.06633939755914421,404,0.8,0.8,23935.0
20000,0.9049879938877974,0.09501200611220258,0.06848304338913727,405,0.8,0.9,25677.0
20000,0.9233403582718651,0.07665964172813487,0.09999999999999996,406,0.0,0.1,24233.0
20000,0.9803657630894913,0.019634236910508727,0.2000000000000001,407,0.0,0.2,20852.0
20000,0.9814655617069564,0.01853443829304357,0.30000000000000027,408,0.0,0.3,13476.0
20000,0.9986133434181085,0.0013866565818915256,0.39999999999999997,409,0.0,0.4,10297.0
13691,1.0,0.0,NaN,410,0.0,0.5,5922.0
7999,1.0,0.0,NaN,411,0.0,0.6,1549.0
2992,1.0,0.0,NaN,412,0.0,0.7,230.0
1547,1.0,0.0,NaN,413,0.0,0.8,48.0
522,1.0,0.0,NaN,414,0.0,0.9,39.0
20000,0.9098154362416108,0.09018456375838926,0.061097611105413015,415,0.4,0.1,24255.0
20000,0.8815607367188332,0.11843926328116683,0.06082101175547206,416,0.4,0.2,25297.0
20000,0.8866337918505061,0.1133662081494939,0.06319047051519747,417,0.4,0.3,24922.0
20000,0.8982925411005973,0.10170745889940265,0.05989312659972971,418,0.4,0.4,24938.0
20000,0.9022788931090613,0.09772110689093869,0.060249829923583846,419,0.4,0.5,25160.0
20000,0.9039653035935564,0.09603469640644362,0.061391925289015326,420,0.4,0.6,24700.0
1174,1.0,0.0,NaN,421,0.4,0.7,41.0
709,1.0,0.0,NaN,422,0.4,0.8,52.0
700,1.0,0.0,NaN,423,0.4,0.9,36.0
20000,0.9249096370208216,0.07509036297917833,0.07459347736034797,424,0.8,0.1,23795.0
20000,0.9248490384127468,0.07515096158725326,0.06755829001458245,425,0.8,0.2,23375.0
20000,0.9199718493942592,0.08002815060574071,0.06140825212281349,426,0.8,0.3,23635.0
20000,0.9241908439611808,0.07580915603881916,0.07030632145479965,427,0.8,0.4,23694.0
20000,0.9206635412910206,0.07933645870897944,0.06016457889977608,428,0.8,0.5,24517.0
805,1.0,0.0,NaN,429,0.8,0.6,21.0
20000,0.9152089529666785,0.08479104703332158,0.0667236780429197,430,0.8,0.7,23809.0
437,1.0,0.0,NaN,431,0.8,0.8,16.0
497,1.0,0.0,NaN,432,0.8,0.9,22.0
20000,0.9393813144464118,0.06061868555358817,0.10000000000000005,433,0.0,0.1,23881.0
20000,0.9668754745634016,0.03312452543659833,0.1999999999999999,434,0.0,0.2,21426.0
20000,0.9833218410618859,0.01667815893811412,0.2999999999999999,435,0.0,0.3,19147.0
20000,0.9914502960860577,0.008549703913942325,0.4000000000000001,436,0.0,0.4,13424.0
20000,0.9994249899373239,0.0005750100626760969,0.5,437,0.0,0.5,7601.0
1157,1.0,0.0,NaN,438,0.0,0.6,51.0
1412,1.0,0.0,NaN,439,0.0,0.7,185.0
1514,1.0,0.0,NaN,440,0.0,0.8,104.0
898,1.0,0.0,NaN,441,0.0,0.9,31.0
20000,0.8933962264150943,0.10660377358490566,0.06385206629177334,442,0.4,0.1,24968.0
20000,0.9050041963911036,0.09499580360889635,0.05667579782304326,443,0.4,0.2,24749.0
20000,0.893290089323692,0.10670991067630796,0.0644618440963626,444,0.4,0.3,25002.0
20000,0.8935929712788367,0.10640702872116323,0.06322879537118142,445,0.4,0.4,24615.0
20000,0.8904268808114962,0.1095731191885038,0.06268286516624802,446,0.4,0.5,25167.0
20000,0.8899655811490601,0.1100344188509399,0.061397841019184995,447,0.4,0.6,25201.0
1863,1.0,0.0,NaN,448,0.4,0.7,42.0
265,1.0,0.0,NaN,449,0.4,0.8,13.0
20000,0.9105197634609399,0.08948023653906007,0.06155668202109437,450,0.4,0.9,24245.0
20000,0.9248915266071518,0.07510847339284824,0.06509377474064255,451,0.8,0.1,23446.0
20000,0.9275063762997842,0.07249362370021581,0.06226934330396103,452,0.8,0.2,23193.0
20000,0.9236629742870032,0.07633702571299684,0.06835405370391685,453,0.8,0.3,23740.0
20000,0.9216157971232396,0.07838420287676039,0.07022211578756656,454,0.8,0.4,23573.0
20000,0.9077055162051942,0.09229448379480575,0.06748882844808608,455,0.8,0.5,24920.0
20000,0.915561105041361,0.08443889495863899,0.06395278567936254,456,0.8,0.6,24315.0
20000,0.9234440246569895,0.07655597534301053,0.07246813107093762,457,0.8,0.7,23631.0
20000,0.9195823784059078,0.08041762159409219,0.06436553400732573,458,0.8,0.8,24129.0
986,1.0,0.0,NaN,459,0.8,0.9,33.0
20000,0.9372826028790068,0.06271739712099321,0.10000000000000006,460,0.0,0.1,24479.0
20000,0.9746443161008593,0.025355683899140724,0.20000000000000015,461,0.0,0.2,21232.0
20000,0.984920865700162,0.015079134299837992,0.2999999999999998,462,0.0,0.3,18309.0
20000,0.9887640449438202,0.011235955056179775,0.4000000000000001,463,0.0,0.4,13507.0
13039,1.0,0.0,NaN,464,0.0,0.5,5661.0
20000,0.999841822208162,0.00015817779183802593,0.6,465,0.0,0.6,4556.0
271,1.0,0.0,NaN,466,0.0,0.7,18.0
1303,1.0,0.0,NaN,467,0.0,0.8,135.0
2762,1.0,0.0,NaN,468,0.0,0.9,108.0
20000,0.8902978006945175,0.10970219930548247,0.05950034606089441,469,0.4,0.1,25018.0
20000,0.8966016655459577,0.10339833445404231,0.05929529561922479,470,0.4,0.2,24494.0
20000,0.8948528254368016,0.10514717456319848,0.05971267382522052,471,0.4,0.3,24733.0
20000,0.8848599506017132,0.11514004939828683,0.06120158095106476,472,0.4,0.4,25144.0
20000,0.9018309713458157,0.09816902865418434,0.06656674734296905,473,0.4,0.5,24490.0
20000,0.8923174135116634,0.10768258648833658,0.06284542513591282,474,0.4,0.6,25129.0
20000,0.8934665886981021,0.10653341130189782,0.062200647335272176,475,0.4,0.7,25084.0
974,1.0,0.0,NaN,476,0.4,0.8,46.0
20000,0.8984948700588511,0.1015051299411489,0.06612845521433464,477,0.4,0.9,24836.0
20000,0.9227055569524767,0.07729444304752325,0.07081851676248817,478,0.8,0.1,23852.0
20000,0.9207057392009734,0.07929426079902657,0.07000772464118787,479,0.8,0.2,23947.0
20000,0.9168129168129168,0.08318708318708319,0.0661811719296089,480,0.8,0.3,23618.0
20000,0.9221290778709221,0.07787092212907787,0.06859054052517725,481,0.8,0.4,23801.0
20000,0.9225094238018309,0.07749057619816908,0.06427102866541752,482,0.8,0.5,24412.0
20000,0.9213397999393755,0.07866020006062444,0.0680841418986276,483,0.8,0.6,23684.0
20000,0.9173638556690448,0.08263614433095519,0.07631729675235932,484,0.8,0.7,24118.0
445,1.0,0.0,NaN,485,0.8,0.8,19.0
666,1.0,0.0,NaN,486,0.8,0.9,49.0
20000,0.9409496753246753,0.05905032467532467,0.10000000000000005,487,0.0,0.1,23505.0
20000,0.9632258064516129,0.036774193548387096,0.1999999999999998,488,0.0,0.2,20762.0
20000,0.9900374074356821,0.009962592564317887,0.2999999999999999,489,0.0,0.3,16096.0
11794,1.0,0.0,NaN,490,0.0,0.4,7145.0
20000,0.9992377403235368,0.0007622596764631151,0.5,491,0.0,0.5,6606.0
8400,1.0,0.0,NaN,492,0.0,0.6,514.0
2286,1.0,0.0,NaN,493,0.0,0.7,294.0
611,1.0,0.0,NaN,494,0.0,0.8,26.0
2383,1.0,0.0,NaN,495,0.0,0.9,231.0
20000,0.8941696020188213,0.1058303979811787,0.060762808690647756,496,0.4,0.1,24670.0
20000,0.8912621359223301,0.1087378640776699,0.06153875499388834,497,0.4,0.2,24919.0
20000,0.8945622993104174,0.10543770068958257,0.0655205401807516,498,0.4,0.3,24994.0
20000,0.8903232577665827,0.1096767422334173,0.06515711732267251,499,0.4,0.4,25019.0
20000,0.8908613445378152,0.10913865546218487,0.061240281756112486,500,0.4,0.5,25259.0
20000,0.8912332524527904,0.10876674754720962,0.06419308796421902,501,0.4,0.6,24905.0
20000,0.8973878599721657,0.10261214002783428,0.06073972388915827,502,0.4,0.7,25154.0
20000,0.8986225895316804,0.10137741046831956,0.0577411358289782,503,0.4,0.8,25240.0
20000,0.8975148568341437,0.10248514316585629,0.05929862642564883,504,0.4,0.9,25531.0
20000,0.9102986663962274,0.08970133360377262,0.06621607730707646,505,0.8,0.1,24110.0
20000,0.9207106598984771,0.07928934010152285,0.07147271664361796,506,0.8,0.2,23671.0
20000,0.9163484363711425,0.08365156362885746,0.06531520305189419,507,0.8,0.3,24121.0
20000,0.9243049959709911,0.07569500402900886,0.07286525883226794,508,0.8,0.4,23719.0
20000,0.9180945307941223,0.08190546920587767,0.06414157326268628,509,0.8,0.5,24527.0
20000,0.9184061696658098,0.08159383033419024,0.06452139536009853,510,0.8,0.6,24061.0
20000,0.8927491616733549,0.10725083832664505,0.06500089540326826,511,0.8,0.7,25656.0
382,1.0,0.0,NaN,512,0.8,0.8,20.0
20000,0.920618777432823,0.07938122256717696,0.06445024239094166,513,0.8,0.9,24793.0
20000,0.936291902769687,0.06370809723031298,0.10000000000000007,514,0.0,0.1,23943.0
20000,0.9651993980436419,0.03480060195635817,0.19999999999999996,515,0.0,0.2,21123.0
20000,0.9825206991720331,0.017479300827966882,0.3000000000000001,516,0.0,0.3,16426.0
